,i,g,status
766,29,12,TN
767,29,13,TN
768,29,14,TN
769,29,15,TN
770,29,16,TN
771,29,17,TN
772,29,18,TN
773,29,19,TN
774,29,20,TN
775,29,21,TN
776,29,22,TN
777,29,23,TN
778,29,24,TN
779,29,25,TN
780,30,0,FP
781,30,1,FP
782,30,2,TN
783,30,3,TN
784,30,4,TN
785,30,5,TN
786,30,6,TN
787,30,7,TN
788,30,8,TN
789,30,9,TN
790,30,10,TN
791,30,11,TN
792,30,12,TN
793,30,13,TN
794,30,14,TN
795,30,15,TN
796,30,16,TN
797,30,17,TN
798,30,18,TN
799,30,19,TN
800,30,20,TN
801,30,21,TN
802,30,22,TN
803,30,23,TN
804,30,24,TN
805,30,25,TN
806,31,0,TP
807,31,1,TP
808,31,2,TP
809,31,3,TP
810,31,4,TP
811,31,5,TP
812,31,6,TP
813,31,7,TP
814,31,8,TP
815,31,9,TP
816,31,10,FN
817,31,11,FN
818,31,12,FN
819,31,13,FN
820,31,14,FN
821,31,15,FN
822,31,16,FN
823,31,17,FN
824,31,18,FN
825,31,19,FN
826,31,20,FN
827,31,21,FN
828,31,22,FN
829,31,23,FN
830,31,24,FN
831,31,25,FN
832,32,0,FP
833,32,1,FP
834,32,2,FP
835,32,3,TN
836,32,4,TN
837,32,5,TN
838,32,6,TN
839,32,7,TN
840,32,8,TN
841,32,9,TN
842,32,10,TN
843,32,11,TN
844,32,12,TN
845,32,13,TN
846,32,14,TN
847,32,15,TN
848,32,16,TN
849,32,17,TN
850,32,18,TN
851,32,19,TN
852,32,20,TN
853,32,21,TN
854,32,22,TN
855,32,23,TN
856,32,24,TN
857,32,25,TN
858,33,0,FP
859,33,1,FP
860,33,2,TN
861,33,3,TN
862,33,4,TN
863,33,5,TN
864,33,6,TN
865,33,7,TN
866,33,8,TN
867,33,9,TN
868,33,10,TN
869,33,11,TN
870,33,12,TN
871,33,13,TN
872,33,14,TN
873,33,15,TN
874,33,16,TN
875,33,17,TN
876,33,18,TN
877,33,19,TN
878,33,20,TN
879,33,21,TN
880,33,22,TN
881,33,23,TN
882,33,24,TN
883,33,25,TN
884,34,0,FP
885,34,1,FP
886,34,2,FP
887,34,3,TN
888,34,4,TN
889,34,5,TN
890,34,6,TN
891,34,7,TN
892,34,8,TN
893,34,9,TN
894,34,10,TN
895,34,11,TN
896,34,12,TN
897,34,13,TN
898,34,14,TN
899,34,15,TN
900,34,16,TN
901,34,17,TN
902,34,18,TN
903,34,19,TN
904,34,20,TN
905,34,21,TN
906,34,22,TN
907,34,23,TN
908,34,24,TN
909,34,25,TN
910,35,0,FP
911,35,1,FP
912,35,2,TN
913,35,3,TN
914,35,4,TN
915,35,5,TN
916,35,6,TN
917,35,7,TN
918,35,8,TN
919,35,9,TN
920,35,10,TN
921,35,11,TN
922,35,12,TN
923,35,13,TN
924,35,14,TN
925,35,15,TN
926,35,16,TN
927,35,17,TN
928,35,18,TN
929,35,19,TN
930,35,20,TN
931,35,21,TN
932,35,22,TN
933,35,23,TN
934,35,24,TN
935,35,25,TN
936,36,0,TP
937,36,1,TP
938,36,2,TP
939,36,3,TP
940,36,4,TP
941,36,5,TP
942,36,6,TP
943,36,7,TP
944,36,8,TP
945,36,9,TP
946,36,10,TP
947,36,11,TP
948,36,12,TP
949,36,13,TP
950,36,14,TP
951,36,15,TP
952,36,16,FN
953,36,17,FN
954,36,18,FN
955,36,19,FN
956,36,20,FN
957,36,21,FN
958,36,22,FN
959,36,23,FN
960,36,24,FN
961,36,25,FN
962,37,0,TP
963,37,1,TP
964,37,2,TP
965,37,3,TP
966,37,4,TP
967,37,5,FN
968,37,6,FN
969,37,7,FN
970,37,8,FN
971,37,9,FN
972,37,10,FN
973,37,11,FN
974,37,12,FN
975,37,13,FN
976,37,14,FN
977,37,15,FN
978,37,16,FN
979,37,17,FN
980,37,18,FN
981,37,19,FN
982,37,20,FN
983,37,21,FN
984,37,22,FN
985,37,23,FN
986,37,24,FN
987,37,25,FN
988,38,0,FP
989,38,1,FP
990,38,2,FP
991,38,3,TN
992,38,4,TN
993,38,5,TN
994,38,6,TN
995,38,7,TN
996,38,8,TN
997,38,9,TN
998,38,10,TN
999,38,11,TN
1000,38,12,TN
1001,38,13,TN
1002,38,14,TN
1003,38,15,TN
1004,38,16,TN
1005,38,17,TN
1006,38,18,TN
1007,38,19,TN
1008,38,20,TN
1009,38,21,TN
1010,38,22,TN
1011,38,23,TN
1012,38,24,TN
1013,38,25,TN
1014,39,0,FP
1015,39,1,FP
1016,39,2,FP
1017,39,3,TN
1018,39,4,TN
1019,39,5,TN
1020,39,6,TN
1021,39,7,TN
1022,39,8,TN
1023,39,9,TN
1024,39,10,TN
1025,39,11,TN
1026,39,12,TN
1027,39,13,TN
1028,39,14,TN
1029,39,15,TN
1030,39,16,TN
1031,39,17,TN
1032,39,18,TN
1033,39,19,TN
1034,39,20,TN
1035,39,21,TN
1036,39,22,TN
1037,39,23,TN
1038,39,24,TN
1039,39,25,TN
1040,40,0,FP
1041,40,1,FP
1042,40,2,TN
1043,40,3,TN
1044,40,4,TN
1045,40,5,TN
1046,40,6,TN
1047,40,7,TN
1048,40,8,TN
1049,40,9,TN
1050,40,10,TN
1051,40,11,TN
1052,40,12,TN
1053,40,13,TN
1054,40,14,TN
1055,40,15,TN
1056,40,16,TN
1057,40,17,TN
